start_date,start_time,finish_date,finish_time,name,gift,vip_gift
20180430,18:00:09.851103,20180430,18:00:11.237685,覃俊毅,13982,6079
20180430,18:00:09.851103,20180430,18:00:11.237685,秦子墨,50197,18567
20180430,18:00:09.851103,20180430,18:00:11.237685,邱治谐,6663,675
20180430,18:00:09.851103,20180430,18:00:11.237685,Rapen,4493,2392
20180430,18:00:09.851103,20180430,18:00:11.237685,孙凡杰,2693,1039
20180430,18:00:09.851103,20180430,18:00:11.237685,孙浩然,19610,2229
20180430,18:00:09.851103,20180430,18:00:11.237685,Traple赵凌峰,1198,423
20180430,18:00:09.851103,20180430,18:00:11.237685,万宇贤,1769,959
20180430,18:00:09.851103,20180430,18:00:11.237685,王艺龙,12827,4362
20180430,18:00:09.851103,20180430,18:00:11.237685,王宥辰,1615,683
20180430,18:00:09.851103,20180430,18:00:11.237685,王梓豪,1975,980
20180430,18:00:09.851103,20180430,18:00:11.237685,王子异,4516856,682121
20180430,18:00:09.851103,20180430,18:00:11.237685,武连杰,20738,4041
20180430,18:00:09.851103,20180430,18:00:11.237685,小鬼,3122067,1032968
20180430,18:00:09.851103,20180430,18:00:11.237685,徐鹤尼,9973,4920
20180430,18:00:09.851103,20180430,18:00:11.237685,许凯皓,86845,20639
20180430,18:00:09.851103,20180430,18:00:11.237685,徐圣恩,174527,71996
20180430,18:00:09.851103,20180430,18:00:11.237685,杨非同,506886,192973
20180430,18:00:09.851103,20180430,18:00:11.237685,杨羿,1653,613
20180430,18:00:09.851103,20180430,18:00:11.237685,叶泓希,106734,1422
20180430,18:00:09.851103,20180430,18:00:11.237685,YiF张艺凡,4549,2352
20180430,18:00:09.851103,20180430,18:00:11.237685,应智越,3344,1447
20180430,18:00:09.851103,20180430,18:00:11.237685,尤长靖,2015021,395701
20180430,18:00:09.851103,20180430,18:00:11.237685,于斌,12373,9860
20180430,18:00:09.851103,20180430,18:00:11.237685,余明君,136250,18441
20180430,18:00:09.851103,20180430,18:00:11.237685,岳岳,1520789,328644
20180430,18:00:09.851103,20180430,18:00:11.237685,张达源,21267,5706
20180430,18:00:09.851103,20180430,18:00:11.237685,张昕,111833,1110
20180430,18:00:09.851103,20180430,18:00:11.237685,张晏恺,5467,2559
20180430,18:00:09.851103,20180430,18:00:11.237685,张奕轩,157107,7323
20180430,18:00:09.851103,20180430,18:00:11.237685,张宇晨,2602,742
20180430,18:00:09.851103,20180430,18:00:11.237685,赵俞澈,3792,1704
20180430,18:00:09.851103,20180430,18:00:11.237685,郑锐彬,1509697,213276
20180430,18:00:09.851103,20180430,18:00:11.237685,周锐,382887,135899
20180430,18:00:09.851103,20180430,18:00:11.237685,周腾阳,2450,1104
20180430,18:00:09.851103,20180430,18:00:11.237685,周彦辰,610255,199911
20180430,18:00:09.851103,20180430,18:00:11.237685,朱星杰,1572950,536241
20180430,18:00:09.851103,20180430,18:00:11.237685,朱一文,4028,1511
20180430,18:00:09.851103,20180430,18:00:11.237685,朱匀天,85887,26335
20180430,18:00:09.851103,20180430,18:00:11.237685,朱匀一,90952,29523
20180430,18:00:09.851103,20180430,18:00:11.237685,朱正廷,5008187,791444
20180430,18:00:09.851103,20180430,18:00:11.237685,左叶,126642,53256
20180430,19:00:12.857636,20180430,19:00:13.216764,贝汯璘,31481,11388
20180430,19:00:12.857636,20180430,19:00:13.216764,毕雯珺,1189899,430275
20180430,19:00:12.857636,20180430,19:00:13.216764,卜凡,3321393,537670
20180430,19:00:12.857636,20180430,19:00:13.216764,蔡徐坤,5005566,2112215
20180430,19:00:12.857636,20180430,19:00:13.216764,陈立农,5000148,1087827
20180430,19:00:12.857636,20180430,19:00:13.216764,陈名豪,13674,5568
20180430,19:00:12.857636,20180430,19:00:13.216764,陈斯琪,30270,13742
20180430,19:00:12.857636,20180430,19:00:13.216764,陈义夫,6020,2752
20180430,19:00:12.857636,20180430,19:00:13.216764,邓烺怡,9117,4036
20180430,19:00:12.857636,20180430,19:00:13.216764,丁泽仁,613963,195785
20180430,19:00:12.857636,20180430,19:00:13.216764,董岩磊,107825,53978
20180430,19:00:12.857636,20180430,19:00:13.216764,范丞丞,5017833,884838
20180430,19:00:12.857636,20180430,19:00:13.216764,甘俊,3979,1783
20180430,19:00:12.857636,20180430,19:00:13.216764,高茂桐,9564,4241
20180430,19:00:12.857636,20180430,19:00:13.216764,GIGEL,8223,3301
20180430,19:00:12.857636,20180430,19:00:13.216764,韩沐伯,904407,141044
20180430,19:00:12.857636,20180430,19:00:13.216764,韩雍杰,242118,13745
20180430,19:00:12.857636,20180430,19:00:13.216764,何东东,157828,57962
20180430,19:00:12.857636,20180430,19:00:13.216764,何嘉庚,2774,934
20180430,19:00:12.857636,20180430,19:00:13.216764,Hook于浩,2310,1032
20180430,19:00:12.857636,20180430,19:00:13.216764,侯浩然,2387,1083
20180430,19:00:12.857636,20180430,19:00:13.216764,胡致邦,333369,32876
20180430,19:00:12.857636,20180430,19:00:13.216764,黄若涵,2217,679
20180430,19:00:12.857636,20180430,19:00:13.216764,黄书豪,49802,18634
20180430,19:00:12.857636,20180430,19:00:13.216764,黄新淳,307454,137318
20180430,19:00:12.857636,20180430,19:00:13.216764,Jeffrey,920904,191625
20180430,19:00:12.857636,20180430,19:00:13.216764,伽里,11787,3510
20180430,19:00:12.857636,20180430,19:00:13.216764,姜达赫,5800,2395
20180430,19:00:12.857636,20180430,19:00:13.216764,姜京佐,19242,7774
20180430,19:00:12.857636,20180430,19:00:13.216764,金逸涵,7168,3497
20180430,19:00:12.857636,20180430,19:00:13.216764,靖佩瑶,137878,38113
20180430,19:00:12.857636,20180430,19:00:13.216764,J-ONE,1798,652
20180430,19:00:12.857636,20180430,19:00:13.216764,Justin,5000608,888088
20180430,19:00:12.857636,20180430,19:00:13.216764,李长庚,126271,18106
20180430,19:00:12.857636,20180430,19:00:13.216764,李俊毅,48720,27009
20180430,19:00:12.857636,20180430,19:00:13.216764,李权哲,632261,199524
20180430,19:00:12.857636,20180430,19:00:13.216764,李让,118861,14722
20180430,19:00:12.857636,20180430,19:00:13.216764,李若天,11091,4987
20180430,19:00:12.857636,20180430,19:00:13.216764,李希侃,1210264,384921
20180430,19:00:12.857636,20180430,19:00:13.216764,李鑫岩,3406,1024
20180430,19:00:12.857636,20180430,19:00:13.216764,李志杰,2229,1101
20180430,19:00:12.857636,20180430,19:00:13.216764,梁辉,25969,6057
20180430,19:00:12.857636,20180430,19:00:13.216764,林超泽,369330,135967
20180430,19:00:12.857636,20180430,19:00:13.216764,林浩楷,3477,1452
20180430,19:00:12.857636,20180430,19:00:13.216764,林彦俊,3182860,432452
20180430,19:00:12.857636,20180430,19:00:13.216764,灵超,3087407,915503
20180430,19:00:12.857636,20180430,19:00:13.216764,凌崎,129272,3803
20180430,19:00:12.857636,20180430,19:00:13.216764,娄滋博,195435,66536
20180430,19:00:12.857636,20180430,19:00:13.216764,陆定昊,290336,67373
20180430,19:00:12.857636,20180430,19:00:13.216764,罗杰,7727,3389
20180430,19:00:12.857636,20180430,19:00:13.216764,罗正,149529,39597
20180430,19:00:12.857636,20180430,19:00:13.216764,吕晨瑜,6562,2829
20180430,19:00:12.857636,20180430,19:00:13.216764,闵喆祥,2491,1217
20180430,19:00:12.857636,20180430,19:00:13.216764,明鹏,36064,8747
20180430,19:00:12.857636,20180430,19:00:13.216764,木子洋,2120083,337558
20180430,19:00:12.857636,20180430,19:00:13.216764,钱正昊,3940302,247264
20180430,19:00:12.857636,20180430,19:00:13.216764,秦奋,802334,227879
20180430,19:00:12.857636,20180430,19:00:13.216764,覃俊毅,13982,6079
20180430,19:00:12.857636,20180430,19:00:13.216764,秦子墨,50197,18567
20180430,19:00:12.857636,20180430,19:00:13.216764,邱治谐,6663,675
20180430,19:00:12.857636,20180430,19:00:13.216764,Rapen,4493,2392
20180430,19:00:12.857636,20180430,19:00:13.216764,孙凡杰,2693,1039
20180430,19:00:12.857636,20180430,19:00:13.216764,孙浩然,19610,2229
20180430,19:00:12.857636,20180430,19:00:13.216764,Traple赵凌峰,1198,423
20180430,19:00:12.857636,20180430,19:00:13.216764,万宇贤,1769,959
20180430,19:00:12.857636,20180430,19:00:13.216764,王艺龙,12827,4362
20180430,19:00:12.857636,20180430,19:00:13.216764,王宥辰,1615,683
20180430,19:00:12.857636,20180430,19:00:13.216764,王梓豪,1975,980
20180430,19:00:12.857636,20180430,19:00:13.216764,王子异,4516856,682121
20180430,19:00:12.857636,20180430,19:00:13.216764,武连杰,20738,4041
20180430,19:00:12.857636,20180430,19:00:13.216764,小鬼,3122067,1032968
20180430,19:00:12.857636,20180430,19:00:13.216764,徐鹤尼,9973,4920
20180430,19:00:12.857636,20180430,19:00:13.216764,许凯皓,86845,20639
20180430,19:00:12.857636,20180430,19:00:13.216764,徐圣恩,174527,71996
20180430,19:00:12.857636,20180430,19:00:13.216764,杨非同,506886,192973
20180430,19:00:12.857636,20180430,19:00:13.216764,杨羿,1653,613
20180430,19:00:12.857636,20180430,19:00:13.216764,叶泓希,106734,1422
20180430,19:00:12.857636,20180430,19:00:13.216764,YiF张艺凡,4549,2352
20180430,19:00:12.857636,20180430,19:00:13.216764,应智越,3344,1447
20180430,19:00:12.857636,20180430,19:00:13.216764,尤长靖,2015021,395701
20180430,19:00:12.857636,20180430,19:00:13.216764,于斌,12373,9860
20180430,19:00:12.857636,20180430,19:00:13.216764,余明君,136250,18441
20180430,19:00:12.857636,20180430,19:00:13.216764,岳岳,1520789,328644
20180430,19:00:12.857636,20180430,19:00:13.216764,张达源,21267,5706
20180430,19:00:12.857636,20180430,19:00:13.216764,张昕,111833,1110
20180430,19:00:12.857636,20180430,19:00:13.216764,张晏恺,5467,2559
20180430,19:00:12.857636,20180430,19:00:13.216764,张奕轩,157107,7323
20180430,19:00:12.857636,20180430,19:00:13.216764,张宇晨,2602,742
20180430,19:00:12.857636,20180430,19:00:13.216764,赵俞澈,3792,1704
20180430,19:00:12.857636,20180430,19:00:13.216764,郑锐彬,1509697,213276
20180430,19:00:12.857636,20180430,19:00:13.216764,周锐,382887,135899
20180430,19:00:12.857636,20180430,19:00:13.216764,周腾阳,2450,1104
20180430,19:00:12.857636,20180430,19:00:13.216764,周彦辰,610255,199911
20180430,19:00:12.857636,20180430,19:00:13.216764,朱星杰,1572950,536241
20180430,19:00:12.857636,20180430,19:00:13.216764,朱一文,4028,1511
20180430,19:00:12.857636,20180430,19:00:13.216764,朱匀天,85887,26335
20180430,19:00:12.857636,20180430,19:00:13.216764,朱匀一,90952,29523
20180430,19:00:12.857636,20180430,19:00:13.216764,朱正廷,5008187,791444
20180430,19:00:12.857636,20180430,19:00:13.216764,左叶,126642,53256
